week,원자재명,사용량,,,,,
2021-05-24,액상리그닌,2394.845286,,,,,
2021-05-24,글루콘산소다,15833.45137,,,,,
2021-05-24,ACTICIDE-MVK,509.781573,,,,,
2021-05-24,PEMA-SRE-200(5,13740.79448,,,,,
2021-05-24,WRE-580FX(55%),151384.0152,,,,,
2021-05-24,PEMA-WRE-550(5,10873.1681,,,,,
2021-05-24,WRE-770,120547.2618,,,,,
2021-05-24,WRE-550T,57698.84239,,,,,
2021-05-24,SRE-200SD-T,20894.99031,,,,,
2021-05-24,PEMA-500FR,12466.63019,,,,,
2021-05-24,PEMA-630XR,10104.28803,,,,,
2021-05-24,M30,10911.75933,,,,,
2021-05-24,PCA3000,32583.42333,,,,,
2021-05-24,Urea-20%,89038.13165,,,,,
2021-05-24,소포제(MR-130),1072.289132,,,,,
2021-05-24,AE 산하(덕소),210.676124,,,,,
2021-05-24,PEMA-550XD,4607.823742,,,,,
2021-05-24,SRE-110(50%),4015.216328,,,,,
2021-05-24,DEA,1059.552227,,,,,
2021-05-24,VK1000,148.732696,,,,,
2021-05-24,Urea,385.10391,,,,,
2021-05-24,PEMA-300HT,97.7103,,,,,
2021-05-24,PEMA-350B,156.794207,,,,,
2021-05-24,설탕,0.025,,,,,
2021-05-24,PEMA-HR1000 내포,873.668251,,,,,
2021-05-24,PEMA-HR1000 동아,719.243761,,,,,
2021-05-24,PEMA-HR1000 서호,422.561559,,,,,
2021-05-24,PEMA-HR1000 동양,779.609698,,,,,
2021-05-24,PEMA-SR3000F 극,905.011917,,,,,
2021-05-24,PEMA-HR1500 우성,803.022711,,,,,
2021-05-24,PEMA-SN400 하남(,389.176164,,,,,
2021-05-24,PEMA-SN400 청명(,1614.76497,,,,,
2021-05-24,PEMA-SN400 유익(,460.201014,,,,,
2021-05-24,PEMA-SR2000 영남,904.342054,,,,,
2021-05-24,PEMA-SP1000 대보,334.315574,,,,,
2021-05-24,MONODN1501,10.203,,,,,
2021-05-24,MONODN1502,10.203,,,,,
2021-05-24,BDG,149.644,,,,,
2021-05-31,사용수,759963.9824,,,,,
2021-05-31,공기연행제,6886.82764,,,,,
2021-05-31,RA-300S,28316.15558,,,,,
2021-05-31,PEMA-WRE-600(5,3681.065626,,,,,
2021-05-31,PC소포제,400.031189,,,,,
2021-05-31,PEMA-HR1000 태명,628.3565,,,,,
2021-05-31,PEMA-SR3000F 현,563.163956,,,,,
2021-05-31,PEMA-HR1000 영동,924.786151,,,,,
2021-05-31,PEMA-PR2000 영풍,106.553625,,,,,
2021-05-31,PEMA-SR3000F 대,197.3745,,,,,
2021-05-31,PEMA-HR1500 삼덕,835.860065,,,,,
2021-05-31,CSA5000 서원(태안),817.1495,,,,,
2021-05-31,CSA5000 삼표(풍납),470.474804,,,,,
2021-05-31,PEMA-HR1500 신송,691.860639,,,,,
2021-05-31,PEMA-SR2000 정선,814.60567,,,,,
2021-05-31,PEMA-SR2000 울산,349.888692,,,,,
2021-05-31,액상리그닌,2209.749977,,,,,
2021-05-31,글루콘산소다,14653.92641,,,,,
2021-05-31,ACTICIDE-MVK,462.404641,,,,,
2021-05-31,PEMA-SRE-200(5,12920.92435,,,,,
2021-05-31,WRE-580FX(55%),188926.455,,,,,
2021-05-31,PEMA-WRE-550(5,10649.47789,,,,,
2021-05-31,WRE-770,110178.1434,,,,,
2021-05-31,WRE-550T,56559.2213,,,,,
2021-05-31,SRE-200SD-T,18630.06718,,,,,
2021-05-31,PEMA-500FR,10388.94652,,,,,
2021-05-31,PEMA-630XR,8132.383745,,,,,
2021-05-31,M30,10233.37828,,,,,
2021-05-31,PCA3000,28721.73895,,,,,
2021-05-31,Urea-20%,79778.82374,,,,,
2021-05-31,소포제(MR-130),953.485638,,,,,
2021-05-31,AE 산하(덕소),179.312556,,,,,
2021-05-31,PEMA-550XD,3881.874586,,,,,
2021-05-31,SRE-110(50%),3521.677792,,,,,
2021-05-31,DEA,371.723588,,,,,
2021-05-31,VK1000,169.22113,,,,,
2021-05-31,Urea,593.265765,,,,,
2021-05-31,PEMA-300HT,125.56215,,,,,
2021-05-31,PEMA-350B,144.434215,,,,,
2021-05-31,설탕,45.75,,,,,
2021-05-31,PEMA-HR1000 내포,682.336224,,,,,
2021-05-31,PEMA-HR1000 동아,561.730464,,,,,
2021-05-31,PEMA-HR1000 서호,330.021216,,,,,
2021-05-31,PEMA-HR1000 동양,608.876352,,,,,
2021-05-31,PEMA-SR3000F 극,788.820824,,,,,
2021-05-31,PEMA-HR1500 우성,659.70052,,,,,
2021-05-31,PEMA-SN400 하남(,288.453708,,,,,
2021-05-31,PEMA-SN400 청명(,1196.84859,,,,,
2021-05-31,PEMA-SN400 유익(,341.096658,,,,,
2021-05-31,PEMA-SR2000 영남,817.977608,,,,,
2021-05-31,PEMA-SP1000 대보,501.032704,,,,,
2021-05-31,MONODN1501,0.003,,,,,
2021-05-31,MONODN1502,0.003,,,,,
2021-05-31,BDG,0.044,,,,,
2021-06-07,사용수,819858.0148,,,,,
2021-06-07,공기연행제,14447.78017,,,,,
2021-06-07,RA-300S,30310.76091,,,,,
2021-06-07,PEMA-WRE-600(5,5001.762041,,,,,
2021-06-07,PC소포제,441.414745,,,,,
2021-06-07,PEMA-HR1000 태명,635.304996,,,,,
2021-06-07,PEMA-SR3000F 현,571.667229,,,,,
2021-06-07,PEMA-HR1000 영동,1043.931751,,,,,
2021-06-07,PEMA-PR2000 영풍,107.731917,,,,,
2021-06-07,PEMA-SR3000F 대,199.557108,,,,,
2021-06-07,PEMA-HR1500 삼덕,849.650586,,,,,
2021-06-07,CSA5000 서원(태안),826.185708,,,,,
2021-06-07,CSA5000 삼표(풍납),477.194538,,,,,
2021-06-07,PEMA-HR1500 신송,700.760835,,,,,
2021-06-07,PEMA-SR2000 정선,825.118321,,,,,
2021-06-07,PEMA-SR2000 울산,355.290846,,,,,
2021-06-07,액상리그닌,2235.718351,,,,,
2021-06-07,글루콘산소다,15410.47944,,,,,
2021-06-07,ACTICIDE-MVK,499.118253,,,,,
2021-06-07,PEMA-SRE-200(5,13670.50044,,,,,
2021-06-07,WRE-580FX(55%),160280.2411,,,,,
2021-06-07,PEMA-WRE-550(5,12208.8238,,,,,
2021-06-07,WRE-770,112923.7568,,,,,
2021-06-07,WRE-550T,63811.49867,,,,,
2021-06-07,SRE-200SD-T,19324.62452,,,,,
2021-06-07,PEMA-500FR,10041.3912,,,,,
2021-06-07,PEMA-630XR,7370.988585,,,,,
2021-06-07,M30,12527.88878,,,,,
2021-06-07,PCA3000,29432.41453,,,,,
2021-06-07,Urea-20%,83075.67147,,,,,
2021-06-07,소포제(MR-130),969.789669,,,,,
2021-06-07,AE 산하(덕소),182.280372,,,,,
2021-06-07,PEMA-550XD,3331.545133,,,,,
2021-06-07,SRE-110(50%),6218.804195,,,,,
2021-06-07,DEA,417.246346,,,,,
2021-06-07,VK1000,80.054301,,,,,
2021-06-07,Urea,385.10391,,,,,
2021-06-07,PEMA-300HT,127.0998,,,,,
2021-06-07,PEMA-350B,149.634637,,,,,
2021-06-07,설탕,0.025,,,,,
2021-06-07,PEMA-HR1000 내포,697.296495,,,,,
2021-06-07,PEMA-HR1000 동아,574.046445,,,,,
2021-06-07,PEMA-HR1000 서호,337.256955,,,,,
2021-06-07,PEMA-HR1000 동양,622.22601,,,,,
2021-06-07,PEMA-SR3000F 극,967.520702,,,,,
2021-06-07,PEMA-HR1500 우성,738.207862,,,,,
2021-06-07,PEMA-SN400 하남(,288.453708,,,,,
2021-06-07,PEMA-SN400 청명(,1196.84859,,,,,
2021-06-07,PEMA-SN400 유익(,341.096658,,,,,
2021-06-07,PEMA-SR2000 영남,1055.733689,,,,,
2021-06-07,PEMA-SP1000 대보,475.519597,,,,,
2021-06-07,MONODN1501,29.22,,,,,
2021-06-07,MONODN1502,29.22,,,,,
